classes	adjective|adverb|auxiliary|conjunction|determiner|expletive|interjection|modal|negation|noun|numeral|ordinal|particle|possessive|preposition|pronoun|quantifier|subordinator|verb
after	adjective	adjective|conjunction|noun|particle|preposition
after	adverb	adjective|adverb|auxiliary|determiner|modal|negation|preposition|verb
after	auxiliary	adjective|adverb|determiner|negation|noun|preposition|pronoun|verb
after	conjunction	adjective|adverb|auxiliary|determiner|expletive|modal|negation|noun|numeral|possessive|preposition|pronoun|quantifier|subordinator|verb
after	determiner	adjective|adverb|noun|numeral|ordinal|possessive|quantifier
after	expletive	auxiliary|modal|verb
after	interjection	adjective|adverb|conjunction|determiner|expletive|interjection|noun|pronoun|verb
after	modal	adverb|auxiliary|negation|verb
after	negation	adjective|adverb|auxiliary|determiner|noun|preposition|pronoun|verb
after	noun	adverb|auxiliary|conjunction|determiner|modal|negation|particle|preposition|pronoun|subordinator|verb
after	numeral	adjective|conjunction|noun|preposition
after	ordinal	adjective|noun
after	particle	adjective|determiner|noun|pronoun|verb
after	possessive	adjective|adverb|noun|numeral|ordinal
after	preposition	adjective|adverb|determiner|noun|numeral|possessive|pronoun|quantifier|verb
after	pronoun	adverb|auxiliary|conjunction|modal|negation|preposition|subordinator|verb
after	quantifier	adjective|determiner|noun|preposition
after	subordinator	adjective|adverb|auxiliary|determiner|expletive|modal|negation|noun|numeral|possessive|pronoun|quantifier|verb
after	verb	adjective|adverb|conjunction|determiner|negation|noun|numeral|particle|possessive|preposition|pronoun|quantifier|subordinator
initial	adjective|adverb|auxiliary|conjunction|determiner|expletive|interjection|modal|negation|noun|numeral|particle|possessive|preposition|pronoun|quantifier|subordinator|verb
final	adjective|adverb|interjection|noun|numeral|ordinal|particle|pronoun|verb
linking	am|appear|appeared|appears|are|be|became|become|becomes|been|being|feel|feels|felt|get|gets|got|grew|grow|grows|is|look|looked|looks|prove|proved|proves|remain|remained|remains|seem|seemed|seems|smell|smelled|smells|sound|sounded|sounds|stay|stayed|stays|taste|tasted|tastes|turn|turned|turns|was|were
det_singular	a|an|another|each|either|every|neither|one|that|this
det_plural	both|few|fewer|fewest|many|several|these|those
det_mass	least|less|little|much
closed	about	preposition
closed	above	preposition
closed	across	preposition
closed	after	conjunction|preposition
closed	against	preposition
closed	along	preposition
closed	alongside	preposition
closed	amid	preposition
closed	amidst	preposition
closed	among	preposition
closed	amongst	preposition
closed	around	preposition
closed	as	conjunction|preposition
closed	astride	preposition
closed	at	preposition
closed	atop	preposition
closed	barring	preposition
closed	before	conjunction|preposition
closed	behind	preposition
closed	below	preposition
closed	beneath	preposition
closed	beside	preposition
closed	besides	preposition
closed	between	preposition
closed	beyond	preposition
closed	but	conjunction|preposition
closed	by	preposition
closed	concerning	preposition
closed	considering	preposition
closed	despite	preposition
closed	down	preposition
closed	during	preposition
closed	except	preposition
closed	excepting	preposition
closed	excluding	preposition
closed	failing	preposition
closed	following	preposition
closed	for	conjunction|preposition
closed	from	preposition
closed	given	preposition
closed	in	preposition
closed	including	preposition
closed	inside	preposition
closed	into	preposition
closed	like	preposition
closed	minus	preposition
closed	near	preposition
closed	notwithstanding	preposition
closed	of	preposition
closed	off	preposition
closed	on	preposition
closed	onto	preposition
closed	opposite	preposition
closed	outside	preposition
closed	over	preposition
closed	past	preposition
closed	pending	preposition
closed	per	preposition
closed	plus	preposition
closed	regarding	preposition
closed	respecting	preposition
closed	round	preposition
closed	save	preposition
closed	since	conjunction|preposition
closed	than	conjunction|preposition
closed	through	preposition
closed	throughout	preposition
closed	till	conjunction|preposition
closed	times	preposition
closed	to	particle|preposition
closed	toward	preposition
closed	towards	preposition
closed	under	preposition
closed	underneath	preposition
closed	unlike	preposition
closed	until	conjunction|preposition
closed	unto	preposition
closed	up	preposition
closed	upon	preposition
closed	versus	preposition
closed	via	preposition
closed	with	preposition
closed	within	preposition
closed	without	preposition
closed	a	determiner
closed	an	determiner
closed	the	determiner
closed	this	determiner
closed	that	conjunction|determiner|pronoun
closed	these	determiner
closed	those	determiner
closed	yon	determiner
closed	yonder	determiner
closed	my	determiner
closed	your	determiner
closed	his	determiner|pronoun
closed	her	determiner|pronoun
closed	its	determiner|pronoun
closed	our	determiner
closed	their	determiner
closed	whose	determiner|pronoun
closed	all	determiner|pronoun
closed	any	determiner|pronoun
closed	both	determiner|pronoun
closed	each	determiner|pronoun
closed	either	determiner|pronoun
closed	enough	determiner
closed	every	determiner
closed	few	determiner|pronoun
closed	fewer	determiner
closed	fewest	determiner
closed	less	determiner
closed	least	determiner
closed	little	determiner
closed	many	determiner|pronoun
closed	more	determiner
closed	most	determiner|pronoun
closed	much	determiner
closed	neither	determiner|negation|pronoun
closed	no	determiner|interjection|negation
closed	several	determiner|pronoun
closed	some	determiner|pronoun
closed	such	determiner|pronoun
closed	another	pronoun
closed	anybody	pronoun
closed	anyone	pronoun
closed	anything	pronoun
closed	cestui	pronoun
closed	everybody	pronoun
closed	everyone	pronoun
closed	everything	pronoun
closed	he	pronoun
closed	hemself	pronoun
closed	hers	pronoun
closed	herself	pronoun
closed	him	pronoun
